Wilayah,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Stunting (%),Tanpa Listrik (%)
kalimantan barat - sambas,0.72,7.66,19.95,32.6,0.25
kalimantan barat - mempawah,0.9,5.18,18.81,29.7,0.0
kalimantan barat - sanggau,1.62,4.55,17.19,26.2,7.64
kalimantan barat - ketapang,0.87,10.13,22.03,23.6,5.69
kalimantan barat - sintang,2.08,9.28,24.59,38.2,7.15
kalimantan barat - kapuas hulu,1.92,8.93,22.39,28.9,1.34
kalimantan barat - bengkayang,0.59,6.48,16.46,26.8,3.4
kalimantan barat - landak,0.42,10.99,29.38,27.8,7.38
kalimantan barat - sekadau,0.98,6.26,38.3,26.5,10.5
kalimantan barat - melawi,3.38,12.01,27.57,37.2,5.5
kalimantan barat - kayong utara,0.49,9.33,21.5,24.5,0.84
kalimantan barat - kubu raya,1.17,4.34,18.41,40.3,0.27
kalimantan barat - kota pontianak,0.0,4.58,8.84,24.4,0.0
kalimantan barat - kota singkawang,0.0,4.83,9.01,22.3,0.48
kalimantan  tengah - kotawaringin barat,5.0,3.95,10.82,23.4,0.03
kalimantan  tengah - kotawaringin timur,1.42,5.91,18.46,32.5,0.52
kalimantan  tengah - kapuas,0.41,5.35,31.06,25.0,0.75
kalimantan  tengah - barito selatan,3.28,4.62,24.72,31.4,1.06
kalimantan  tengah - barito utara,0.69,5.61,12.68,28.3,3.05
kalimantan  tengah - katingan,0.83,5.25,31.24,29.3,1.72
kalimantan  tengah - seruyan,3.43,7.22,23.13,29.3,0.4
kalimantan  tengah - sukamara,4.82,3.66,13.7,24.7,1.97
kalimantan  tengah - lamandau,1.99,3.56,19.56,23.2,4.52
kalimantan  tengah - gunung mas,5.0,5.35,20.72,35.9,1.6
kalimantan  tengah - pulang pisau,0.31,4.24,24.79,24.6,0.47
kalimantan  tengah - murung raya,5.0,6.15,22.24,31.8,9.88
kalimantan  tengah - barito timur,1.02,6.38,10.47,33.7,0.57
kalimantan  tengah - kota palangkaraya,0.0,3.75,8.93,25.2,0.0
kalimantan selatan - tanah laut,0.46,4.57,17.97,31.0,0.32
kalimantan selatan - kotabaru,1.46,4.86,23.65,21.8,0.55
kalimantan selatan - banjar,0.6,3.04,31.59,40.2,0.15
kalimantan selatan - barito kuala,0.25,5.11,32.42,32.4,0.68
kalimantan selatan - tapin,0.29,3.6,27.02,33.5,0.47
kalimantan selatan - hulu sungai selatan,0.41,4.84,30.46,29.1,0.0
kalimantan selatan - hulu sungai tengah,0.37,6.18,30.05,29.6,0.12
kalimantan selatan - hulu sungai utara,0.55,6.83,14.75,20.9,0.24
kalimantan selatan - tabalong,0.84,6.27,16.85,28.2,0.43
kalimantan selatan - tanah bumbu,1.14,4.82,9.68,18.7,0.14
kalimantan selatan - balangan,0.78,6.07,15.83,32.3,0.66
kalimantan selatan - kota banjarmasin,0.0,4.89,9.31,27.8,0.0
kalimantan selatan - kota banjarbaru,0.0,4.4,7.1,19.0,0.0
kalimantan timur - paser,0.92,9.73,12.26,23.6,0.2
kalimantan timur - kutai kartanegara,1.09,7.99,8.39,26.4,0.23
kalimantan timur - berau,0.89,5.88,7.88,25.7,0.9
kalimantan timur - kutai barat,3.59,10.24,11.45,15.8,0.13
kalimantan timur - kutai timur,4.81,9.81,12.29,27.5,0.49
kalimantan timur - penajam paser utara,0.74,7.61,13.67,27.3,0.0
kalimantan timur - mahakam ulu,5.0,11.9,20.18,20.3,0.26
kalimantan timur - kota balikpapan,0.0,2.89,3.09,17.6,0.0
kalimantan timur - kota samarinda,0.0,4.99,3.82,21.6,0.0
kalimantan timur - kota bontang,0.0,4.62,5.61,26.3,0.04
kalimantan utara - bulungan,1.79,10.03,10.79,22.9,0.0
kalimantan utara - malinau,2.99,7.3,7.23,24.2,7.99
kalimantan utara - nunukan,1.7,6.79,10.38,30.0,1.06
kalimantan utara - tana tidung,5.0,5.15,11.75,22.8,1.46
kalimantan utara - kota tarakan,0.0,6.71,7.75,25.9,0.0
